axis,group,n_question_days,mean_brier,median_brier,sd_brier
question_type,binary only,6670,0.14692242203373312,0.019999999999999997,0.28755851595918863
question_type,multi-option nominal only,1157,0.4873981371695326,0.22925688554625517,0.5498747767876329
question_type,ordinal only,5302,0.25307659891082723,0.13645347482188142,0.29446288026085726
n_forecasters,Q1_lowest_n,3848,0.26432457693138955,0.07578789888824036,0.39743748026279774
n_forecasters,Q3,3009,0.19869423074831838,0.061485183899928963,0.3052406875541893
n_forecasters,Q4_highest_n,3218,0.2089475283976903,0.0875474802838658,0.2980760929202655
n_forecasters,Q2,3054,0.19591331642367732,0.05299743458406247,0.3134395746103123
forecast_dispersion,high,4316,0.27744000861201795,0.125,0.34306818559037733
forecast_dispersion,,180,0.4507863799748003,0.17165000000000002,0.5757124051498342
forecast_dispersion,medium,4316,0.24798223632941496,0.10258152105252036,0.34466176767630696
forecast_dispersion,low,4317,0.124354961670759,0.018049999999999997,0.27997270605037794
forecast_age,same_day,5974,0.21929307340412635,0.0756321613699838,0.33548396232433725
forecast_age,one_day,7155,0.22021628323956735,0.06747601689211108,0.3370093572827309
