discover_question_id,subset,mean_delta,question_day_positive_excess_loss,n_question_days,question_balanced_positive_excess_loss
230,multi-option nominal only,0.3798888460500423,68.93644341592868,171,0.3798888460500423
386,binary only,0.33741283250496595,11.417774361213025,31,0.33741283250496595
369,binary only,0.32475909512988693,9.860993083988335,27,0.32475909512988693
331,binary only,0.258526703420441,1.1512618883537575,4,0.258526703420441
300,multi-option nominal only,0.23707444108564202,12.58871528068794,43,0.23707444108564202
227,multi-option nominal only,0.236834563667218,12.806259094504256,53,0.236834563667218
311,ordinal only,0.23531196503673782,28.78121872966403,115,0.23531196503673782
354,binary only,0.1932937177159295,1.6183632998985045,7,0.1932937177159295
220,ordinal only,0.17108213518309603,25.21049561071666,132,0.17108213518309603
228,ordinal only,0.14273505997817088,0.9991454198471961,7,0.14273505997817088
258,binary only,0.11799435372481243,6.417034197111831,36,0.11799435372481243
281,multi-option nominal only,0.11512786324632969,31.439723430794505,143,0.11512786324632969
314,ordinal only,0.11488738937115892,11.439342306895014,84,0.11488738937115892
192,ordinal only,0.10294909295649317,2.866115118076894,22,0.10294909295649317
360,ordinal only,0.10144490813275346,2.3883801775094113,23,0.10144490813275346
302,binary only,0.09944632420238769,10.745560296889849,65,0.09944632420238769
277,ordinal only,0.09894029973316482,9.959560794840119,74,0.09894029973316482
178,ordinal only,0.09833847836287637,13.504226832679318,85,0.09833847836287637
207,ordinal only,0.09739029768869552,5.713273557154366,48,0.09739029768869552
219,binary only,0.09385365901124301,22.026834403334362,129,0.09385365901124301
181,ordinal only,0.09351262862454879,2.658251633453477,25,0.09351262862454879
260,ordinal only,0.0912136229301541,14.243739355083392,109,0.0912136229301541
397,ordinal only,0.0807745580194415,0.7269840221159736,9,0.0807745580194415
337,ordinal only,0.07976105338457151,3.5784582177034086,39,0.07976105338457151
351,ordinal only,0.07907468074045708,8.417328139598569,86,0.07907468074045708
234,binary only,0.07728299980180027,11.901066329612487,92,0.07728299980180027
242,ordinal only,0.0772452373630541,3.3829319519317944,33,0.0772452373630541
222,ordinal only,0.07403353491340553,3.566203733601407,41,0.07403353491340553
374,ordinal only,0.07278165369471065,5.224870182312697,66,0.07278165369471065
264,ordinal only,0.07193230365210738,9.595208485720084,110,0.07193230365210738
204,ordinal only,0.07036320867969742,1.3013948555884094,16,0.07036320867969742
236,ordinal only,0.062311403574638116,2.6610990444237443,34,0.062311403574638116
238,ordinal only,0.061869970058751396,9.408387526443606,108,0.061869970058751396
239,ordinal only,0.06136606261803138,15.233480520909218,148,0.06136606261803138
361,ordinal only,0.056502769436239726,6.945448667176093,81,0.056502769436239726
350,binary only,0.05319621032800572,1.8010252447416595,21,0.05319621032800572
235,ordinal only,0.05310281597298222,2.3300949000921056,34,0.05310281597298222
195,ordinal only,0.04883804079496165,1.039851321546338,11,0.04883804079496165
338,ordinal only,0.047678379976578464,2.634924869840648,39,0.047678379976578464
366,ordinal only,0.04685554313506278,1.1752209218888512,20,0.04685554313506278
345,ordinal only,0.04668700876995661,1.7035885604955516,30,0.04668700876995661
341,multi-option nominal only,0.04219289887446462,6.501433647529564,89,0.04219289887446462
187,ordinal only,0.04053127993723537,0.6242208351915237,12,0.04053127993723537
301,ordinal only,0.035966738998049426,1.875746326331247,30,0.035966738998049426
287,binary only,0.0341156271517889,9.696957202947315,91,0.0341156271517889
244,ordinal only,0.030809141536024497,1.6616732915873484,44,0.030809141536024497
243,ordinal only,0.03043322956731198,2.0624036464384763,49,0.03043322956731198
179,binary only,0.030209406626786277,3.098947380333562,40,0.030209406626786277
188,ordinal only,0.02845125396433134,4.67363133346492,114,0.02845125396433134
357,binary only,0.027149611322955736,4.678549933597517,94,0.027149611322955736
375,binary only,0.027026962633243154,5.817507724501416,66,0.027026962633243154
384,ordinal only,0.026804795049247754,2.020495262489869,38,0.026804795049247754
344,ordinal only,0.026727461259642343,3.111109719753448,64,0.026727461259642343
200,binary only,0.026111125965965053,7.590007043855699,185,0.026111125965965053
322,binary only,0.024989718940669193,2.0070665450131173,28,0.024989718940669193
201,binary only,0.02160090080043165,5.825767240782227,185,0.02160090080043165
255,multi-option nominal only,0.019230794616265444,13.961735563183797,156,0.019230794616265444
267,binary only,0.018301881672305134,5.690825577988668,150,0.018301881672305134
271,binary only,0.015470400488436497,8.827976130083243,91,0.015470400488436497
319,binary only,0.015348337412788723,1.0816338502342455,16,0.015348337412788723
209,ordinal only,0.014070571879296919,0.7063679559717343,27,0.014070571879296919
282,binary only,0.014018114916044672,6.896733123548115,143,0.014018114916044672
308,binary only,0.012344253355532804,3.071257277937333,48,0.012344253355532804
349,binary only,0.011990003964698844,2.068092569320593,39,0.011990003964698844
305,ordinal only,0.00837178756159855,9.709869245945699,91,0.00837178756159855
348,binary only,0.007998167235874322,1.1159475849993004,94,0.007998167235874322
372,ordinal only,0.007098234161802076,0.7093657749191162,30,0.007098234161802076
184,ordinal only,0.006253744547503553,0.6575956674860456,25,0.006253744547503553
241,binary only,0.005443395556582683,1.4028213225111452,64,0.005443395556582683
224,ordinal only,0.005177614522712734,0.1919876687869832,8,0.005177614522712734
214,binary only,0.0049158035829789054,5.171366206701454,178,0.0049158035829789054
257,binary only,0.004513869779551799,3.1921844500010623,157,0.004513869779551799
225,ordinal only,0.003970536573984618,2.0129868415967818,77,0.003970536573984618
359,binary only,0.0036437548420947,0.7382244562219847,80,0.0036437548420947
324,ordinal only,0.0021882799237245543,3.776580143713412,71,0.0021882799237245543
249,binary only,0.001993516227727026,1.8217530479195554,88,0.001993516227727026
186,ordinal only,0.0016451166910707595,1.1226133229540942,79,0.0016451166910707595
362,binary only,0.0014536536405894884,1.154991488091354,80,0.0014536536405894884
388,ordinal only,0.0014296015070963124,0.7784622244953388,37,0.0014296015070963124
199,binary only,0.0007715110942603985,1.4636773261638165,178,0.0007715110942603985
304,ordinal only,0.0006500094206926323,3.2482534568219217,60,0.0006500094206926323
198,binary only,0.0005976143675181511,1.3406440707237164,33,0.0005976143675181511
259,binary only,0.0004503012568364893,4.8708116336886915,101,0.0004503012568364893
382,binary only,0.00016642223026929932,2.590791037636672,45,0.00016642223026929932
312,ordinal only,-0.028703434733307557,3.0755806890175887,85,0.0
290,ordinal only,-0.01669796166099733,0.4034652758323235,97,0.0
185,ordinal only,-0.00473238735378467,1.1857110403926652,116,0.0
180,ordinal only,-0.011164188162720037,6.151445022196741,179,0.0
315,binary only,-0.11451542405059396,0.7541844071299206,13,0.0
390,binary only,-0.02347445145851223,0.3245759418288929,16,0.0
253,binary only,-0.00012935436409233054,6.116667719107868e-8,51,0.0
197,binary only,-0.052726695157066,0.022390354726680634,5,0.0
339,ordinal only,-0.02417307669430179,0.1037002967405735,70,0.0
288,binary only,-0.00966204656214414,0.019948368023081177,99,0.0
307,ordinal only,-0.0625269986884419,2.5419607003788833,110,0.0
189,ordinal only,-0.01022365751538436,0.005380996876691662,43,0.0
355,binary only,-0.011522876363264488,0.4096396991623745,94,0.0
318,ordinal only,-0.00993175733770921,0.6716050554743775,122,0.0
247,ordinal only,-0.0016832083513488054,0.0044818267591001035,59,0.0
347,binary only,-0.04805908554659111,0.4491594379602074,94,0.0
262,ordinal only,-0.014171654017061629,0.8493716061120365,81,0.0
299,multi-option nominal only,-0.026053374175378063,5.303839589867131,67,0.0
240,ordinal only,-0.05527499465506618,6.040419968863439,125,0.0
380,ordinal only,-0.019699249277799633,0.08438064718796884,21,0.0
392,binary only,-0.008898318151620637,0.0,24,0.0
383,ordinal only,-0.013247348809791181,0.7209887391089753,44,0.0
394,binary only,-0.055244354332401865,0.0,17,0.0
215,binary only,-0.01874132360005747,1.982322572537654,177,0.0
269,binary only,-0.08276823011466866,3.7365181766610696,129,0.0
377,binary only,-0.028581344005637367,0.21145521133014256,73,0.0
370,binary only,-0.007631026239099462,0.06219888975959309,59,0.0
208,ordinal only,-0.0012170391638364375,0.5576512973204338,47,0.0
325,ordinal only,-0.04066607585868111,0.0,16,0.0
278,binary only,-0.009719732611119816,2.94510126872597e-8,7,0.0
245,binary only,-0.003283460049261596,0.0,16,0.0
316,ordinal only,-0.007064013892906312,2.642974867189138,84,0.0
275,binary only,-0.0029027686595036197,0.07385058786367399,74,0.0
248,binary only,-0.0010506774272005788,0.005118652910225669,88,0.0
295,ordinal only,-0.025825374959610858,1.9708626648217984,67,0.0
364,ordinal only,-0.06807654387417103,1.404542653939739,42,0.0
229,binary only,-0.05497691263946868,1.6250381254056112,169,0.0
237,multi-option nominal only,-0.00794313303987049,3.79259160008533,82,0.0
320,ordinal only,-0.030850056842629463,0.8348504123865699,115,0.0
286,multi-option nominal only,-0.04534870777984742,0.005068989744523397,68,0.0
