method,subset,reliability,resolution,uncertainty,brier_decomposition,brier_direct,rel_share,n_option_rows
raw_mean,all questions,0.0047734968854798365,0.11208522499089113,0.21740664720345046,0.11009491909803916,0.1095651246423869,0.040848443392440065,41097
raw_mean,binary only,0.01688830684518036,0.18224331942299782,0.25,0.08464498742218254,0.08437066669576548,0.0848097670956407,13340
raw_mean,multi-option nominal only,0.0035898524031379164,0.07088905130428794,0.1974535845686145,0.13015438566746448,0.12973984964945007,0.0481995870567573,4273
raw_mean,ordinal only,0.001330672210747383,0.0551444096528972,0.1747983116015511,0.12098457415940128,0.12020587873252266,0.023562112118052432,23484
median,all questions,0.0008710984458494257,0.11130377973878909,0.21740664720345046,0.1069739659105108,0.10639690867432146,0.007765539485726991,41097
median,binary only,0.0039067002537739245,0.18008214342718185,0.25,0.07382455682659209,0.07346121101686656,0.021233354020900874,13340
median,multi-option nominal only,0.0034702295847890384,0.06848881962066859,0.1974535845686145,0.13243499453273494,0.13197276964782337,0.04822506165806654,4273
median,ordinal only,0.0007460507929206707,0.05428964475678771,0.1747983116015511,0.12125471763768406,0.1204522890529058,0.013555762046231172,23484
geometric_mean,all questions,0.002346200572096561,0.10864255044102508,0.21740664720345046,0.11111029733452193,0.11029691087613402,0.02113908437278641,41097
geometric_mean,binary only,0.0008547905995053091,0.19155857924317793,0.25,0.05929621135632737,0.05908730452658951,0.004442469877244935,13340
geometric_mean,multi-option nominal only,0.012149449430441238,0.059519573262633796,0.1974535845686145,0.15008346073642195,0.148643223127028,0.16952162836755366,4273
geometric_mean,ordinal only,0.0066801680508147615,0.048067952777812166,0.1747983116015511,0.13341052687455368,0.13240908752640035,0.12201638978121432,23484
trimmed_mean,all questions,0.003404789241478903,0.11285815740721689,0.21740664720345046,0.10795327903771247,0.10747583124941001,0.02928524813470395,41097
trimmed_mean,binary only,0.013066548905834861,0.18292071766520912,0.25,0.08014583124062574,0.0800417236003232,0.06667039718673932,13340
trimmed_mean,multi-option nominal only,0.002570011662820724,0.07046431866361696,0.1974535845686145,0.12955927756781827,0.1285926517610031,0.035189090545962136,4273
trimmed_mean,ordinal only,0.0007830371501245698,0.05567570088066048,0.1747983116015511,0.1199056478710152,0.11921739239711826,0.013869193280544208,23484
geometric_mean_of_odds,all questions,0.0027604399895843545,0.10467833750808984,0.21740664720345046,0.11548874968494496,0.11470740234353786,0.025693144075881837,41097
geometric_mean_of_odds,binary only,0.00041588837717052355,0.17861372014643193,0.25,0.0718021682307386,0.07189023340903986,0.0023230145035796953,13340
geometric_mean_of_odds,multi-option nominal only,0.016192218330198755,0.05820787643327295,0.1974535845686145,0.1554379264655403,0.15478617137984768,0.21763706594294108,4273
geometric_mean_of_odds,ordinal only,0.00731088559814985,0.04912929505287909,0.1747983116015511,0.13297990214682187,0.13173705885410045,0.12953334865019725,23484
