method,discover_question_id,scoring_day_et,subset,n_individuals,aggregate_brier,median_individual_brier,mean_individual_brier,aggregate_percentile_rank
median,249,2018-04-07,binary only,16,0.0242,0.024399999999999998,0.13735341125,0.5
geometric_mean_of_odds,353,2018-07-28,ordinal only,11,0.0008144411996674194,0.04025600000000001,0.4246730418181818,0.8181818181818182
median,220,2018-05-21,ordinal only,5,0.8332590777456002,0.99543332,0.882166664,0.6
geometric_mean_of_odds,376,2018-08-08,binary only,29,0.0020142547383018143,0.012799999999999994,0.20734249586206896,0.6551724137931034
geometric_mean_of_odds,373,2018-07-15,ordinal only,19,0.0005025579471825083,0.012100000000000001,0.05594712684210527,0.6842105263157895
median,179,2018-03-25,binary only,6,0.9112500000000001,0.9225,0.8441386666666667,0.5
median,360,2018-06-26,ordinal only,33,0.3498056439398474,0.36125,0.3694009782017938,0.5151515151515151
geometric_mean_of_odds,367,2018-07-29,binary only,9,0.0012338423124601816,0.0008000000000000008,0.22993333333333332,0.4444444444444444
geometric_mean_of_odds,213,2018-08-05,binary only,12,0.00007894926959445296,0.007999999999999998,0.05474208166666667,0.75
median,267,2018-06-29,binary only,15,0.045000000000000005,0.045000000000000005,0.28431782533333333,0.4
median,299,2018-06-13,multi-option nominal only,23,0.15070677011372097,0.17540000000000006,0.32202924173913045,0.5217391304347826
geometric_mean_of_odds,281,2018-07-29,multi-option nominal only,15,0.5570915462936653,0.7110341299999998,0.7642444673333333,0.5333333333333333
median,229,2018-04-15,binary only,5,0.07219999999999999,0.07219999999999999,0.05116,0.2
geometric_mean_of_odds,342,2018-06-07,multi-option nominal only,63,0.1611904878585601,0.3872,0.49910506174603175,0.6825396825396826
median,223,2018-07-07,binary only,2,0.0,0.0,0.0,0.0
geometric_mean_of_odds,313,2018-06-01,multi-option nominal only,10,0.2281310034166148,0.1802,0.39879816999999995,0.4
median,250,2018-05-04,ordinal only,21,0.024014095408439594,0.055266666666666665,0.172601033015873,0.5238095238095238
median,241,2018-05-26,binary only,12,0.006050000000000007,0.006500000000000007,0.01115,0.5
geometric_mean_of_odds,307,2018-07-27,ordinal only,9,0.012125196447545086,0.020167319999999996,0.06551599888888889,0.5555555555555556
median,313,2018-07-31,multi-option nominal only,15,0.036782785604212546,0.05622144,0.10167091733333335,0.5333333333333333
median,210,2018-06-26,binary only,5,0.0050000000000000044,0.0050000000000000044,0.08174810000000002,0.2
median,318,2018-08-02,ordinal only,40,0.0014033487749421385,0.0012617575,0.022688774813848876,0.475
geometric_mean_of_odds,219,2018-06-28,binary only,20,1.1606427660171295,1.1474730100000001,1.16597351,0.45
median,358,2018-08-30,binary only,25,0.003680820000000004,0.003680820000000004,0.036454002400000005,0.48
median,210,2018-07-08,binary only,11,0.00980000000000001,0.00980000000000001,0.03031510727272728,0.45454545454545453
geometric_mean_of_odds,184,2018-03-08,ordinal only,179,0.2464882645740482,0.23779999999999998,0.3099951285881361,0.4860335195530726
geometric_mean_of_odds,280,2018-05-10,ordinal only,26,0.12498204957791843,0.48906923,0.5898430007692308,0.7692307692307693
geometric_mean_of_odds,223,2018-07-04,binary only,17,0.0041540386420567295,0.125,0.3954460058823529,0.7058823529411765
median,322,2018-05-31,binary only,52,0.07999999999999996,0.07999999999999996,0.15435382384615387,0.4423076923076923
median,287,2018-06-25,binary only,10,0.28125,0.28250000000000003,0.484951412,0.5
geometric_mean_of_odds,306,2018-07-17,binary only,5,0.000017545675329280652,0.0002000000000000002,0.004239999999999999,0.8
geometric_mean_of_odds,186,2018-05-29,ordinal only,19,0.0007350702937750106,0.005200000000000001,0.1996311089473684,0.7894736842105263
